epoch,train_loss,val_loss,train_acc,val_top1,val_top5
1,4.050985445697491,3.7973032287597657,6.5576923076923075,10.24,32.96
2,3.517993407528217,3.387097900772095,14.577692307692308,17.18,45.0
3,3.1877914133512055,3.2039962272644043,21.01,20.599999999999998,50.12
4,2.937367156072763,2.9180892002105714,25.943076923076923,25.900000000000002,57.42
5,2.7441806146181547,2.747817593383789,30.11615384615385,30.320000000000004,61.06
6,2.576760908449613,2.6414389595031738,33.8823076923077,33.879999999999995,63.46000000000001
7,2.446191707640428,2.4375763877868653,36.715384615384615,37.0,68.2
8,2.3386689534700835,2.476569470214844,39.35769230769231,36.66,67.42
9,2.2301010942899264,2.403290353012085,41.783846153846156,39.22,68.06
10,2.1504470691534188,2.3270624801635744,43.690769230769234,41.5,70.0
11,1.8960908837978656,1.9180423469543457,49.635384615384616,49.419999999999995,76.53999999999999
12,1.8339715663616474,1.9057461351394653,51.10076923076923,49.66,77.24
13,1.7991447849126962,1.8817251399993897,51.98692307692308,50.339999999999996,77.75999999999999
14,1.772480562884991,1.8720285497665405,52.44384615384615,50.68,77.8
15,1.765098623745258,1.8583182874679565,52.72846153846154,50.739999999999995,77.88000000000001
16,1.740887764417208,1.8439677188873291,53.34692307692308,51.42,78.10000000000001
17,1.7305286516776452,1.8346342111587524,53.72615384615385,51.580000000000005,78.32000000000001
18,1.711192962030264,1.836667808151245,54.13692307692307,51.839999999999996,78.60000000000001
19,1.6999993267059326,1.811127152824402,54.37461538461539,52.400000000000006,79.10000000000001
20,1.684391893210778,1.8080590383529662,54.677692307692304,52.019999999999996,78.96
21,1.6567476995761579,1.7991352943420411,55.646153846153844,52.52,79.4
22,1.6458665192677424,1.7918629508972168,55.56384615384615,52.78,79.10000000000001
23,1.6418022592251118,1.8031460878372192,55.73923076923077,52.72,79.24
24,1.6383716707229614,1.786461448097229,55.895384615384614,52.66,79.4
25,1.6354674176876363,1.7912088493347167,55.85461538461538,53.1,79.17999999999999
26,1.6332916025308462,1.7936414726257324,55.90923076923077,53.12,79.17999999999999
27,1.6221078565450815,1.7854906303405762,56.08153846153846,52.900000000000006,79.25999999999999
28,1.6355867350798388,1.7850875011444092,55.92230769230769,52.959999999999994,79.58
29,1.6252484938548162,1.7816870149612427,56.13384615384616,53.02,79.5
30,1.623961313056946,1.7870376634597778,56.15230769230769,53.12,79.34
31,2.375147376515315,2.289178852081299,39.721538461538465,41.48,70.12
32,2.1045501745370716,2.2583618942260744,45.324615384615385,41.78,71.78
33,2.003682827318632,2.160004620742798,47.683076923076925,44.58,72.94
34,1.930662737919734,2.067711033439636,49.16153846153846,46.26,74.42
35,1.8746080735426682,2.030433786010742,50.6576923076923,46.660000000000004,75.3
36,1.8166540276160608,1.9241516208648681,52.00307692307692,49.46,76.55999999999999
37,1.7743783970906184,1.858544338607788,53.01461538461538,51.2,78.66
38,1.731123541875986,1.9024409160614013,53.98,50.96000000000001,77.82
39,1.6926379563845122,1.8594495208740234,55.04,50.72,77.46
40,1.655473639370845,1.941942275238037,55.84538461538462,50.72,76.64
41,1.6271709562741794,1.7671191925048828,56.720000000000006,53.36,80.82000000000001
42,1.5997541696401743,1.7566616792678833,57.49307692307693,53.879999999999995,80.0
43,1.57031416790302,1.7514179668426513,58.14,54.54,80.04
44,1.5472834136816171,1.8926740083694458,58.80615384615384,51.739999999999995,78.84
45,1.5296043823095469,1.7165674440383911,59.214615384615385,54.620000000000005,81.52000000000001
46,1.50196520046821,1.7064019535064698,59.901538461538465,55.60000000000001,81.3
47,1.4764566477848933,1.6435111862182616,60.69307692307693,56.84,82.39999999999999
48,1.4633716373590322,1.599326370048523,60.94230769230769,58.220000000000006,82.98
49,1.4474887620485746,1.6934855365753174,61.3523076923077,56.24,81.2
50,1.4365505784548247,1.5856820819854736,61.762307692307694,58.36,83.82
51,1.4159789628395667,1.632055337524414,62.26076923076923,57.28,82.34
52,1.4046355494425846,1.6143358474731446,62.5623076923077,58.24,81.67999999999999
53,1.3935142164230347,1.573710279083252,62.799230769230775,59.260000000000005,82.98
54,1.3795609791975756,1.6105904455184936,63.028461538461535,57.78,82.32000000000001
55,1.3699007082865788,1.582726809501648,63.417692307692306,57.96,83.12
56,1.3673185455175547,1.5798393531799317,63.57076923076923,59.62,83.06
57,1.3497870530788716,1.5090253917694092,64.1776923076923,60.019999999999996,84.48
58,1.3358251249019917,1.5881800472259522,64.53,59.08,82.88
59,1.3299213666769174,1.5534386642456055,64.5,59.31999999999999,83.89999999999999
60,1.3210299766833966,1.5212825325012207,64.83461538461538,59.68,83.89999999999999
61,1.0540588216048021,1.1781381328582763,71.45307692307692,68.7,88.64
62,0.9910812642904429,1.1527471145629882,72.87461538461538,69.19999999999999,88.75999999999999
63,0.9577444319064801,1.1444367958068848,73.66076923076923,69.62,89.34
64,0.9388099547899686,1.146975429725647,74.11538461538461,69.74000000000001,89.32
65,0.9209921795184796,1.1437187786102294,74.55846153846154,69.72,89.52
66,0.9105982467504649,1.1395675388336182,74.85923076923076,69.98,89.16
67,0.8978370626522945,1.1450725799560546,75.29,69.19999999999999,89.16
68,0.8819168606024522,1.1324880878448487,75.56923076923077,69.92,89.52
69,0.873976622060629,1.1342508863449097,75.79538461538462,69.8,89.36
70,0.8637974339558528,1.128459357070923,76.04538461538462,70.42,90.22
71,0.8568701809589679,1.1188265064239502,76.12153846153846,70.26,90.03999999999999
72,0.8550954615079439,1.129643600845337,76.36307692307692,70.12,89.60000000000001
73,0.8440042235007653,1.1059474697113036,76.70769230769231,70.64,90.22
74,0.8355826383077182,1.1167342515945435,76.78076923076922,70.67999999999999,90.0
75,0.8366309426087599,1.11036897315979,76.7623076923077,70.26,89.94
76,0.8257477737500117,1.1291487518310548,77.12,70.04,89.66
77,0.8201876402928279,1.1170969591140747,77.1853846153846,70.14,90.25999999999999
78,0.8088562733430129,1.132102600669861,77.5923076923077,70.3,90.18
79,0.8011150260338417,1.1361158321380616,77.66461538461539,70.54,89.75999999999999
80,0.7977647889650785,1.132612483406067,77.85076923076923,70.52000000000001,89.84
81,0.7927297870415908,1.1361437511444092,77.9623076923077,70.48,89.86
82,0.7908099299210768,1.1349218208312988,77.98615384615385,70.52000000000001,90.24
83,0.7865391840421236,1.1369715427398681,78.08923076923077,70.74000000000001,89.75999999999999
84,0.782447496340825,1.1261296760559083,78.22307692307693,71.2,90.18
85,0.7698243196927584,1.1320036125183106,78.51692307692308,70.92,90.22
86,0.7682545029346759,1.1432215906143188,78.58538461538461,70.58,90.32
87,0.7694543263728802,1.1393639572143555,78.63153846153847,70.44,90.24
88,0.7574956908299373,1.1399555505752563,78.80692307692307,70.28,89.82
89,0.7523900397520799,1.1374565626144408,79.02230769230769,71.1,89.66
90,0.7477733392715454,1.1386708925247193,79.00384615384615,70.62,89.86
91,0.7102202581478999,1.115283434677124,80.26615384615384,71.26,90.44
92,0.6944720010904165,1.1163406745910645,80.67692307692307,71.02000000000001,90.7
93,0.6887084202326261,1.1106774980545044,80.73153846153846,71.17999999999999,90.56
94,0.6876564038423392,1.1106963249206543,80.84307692307692,71.3,90.7
95,0.6821472965240478,1.118300113105774,80.92923076923077,70.86,90.5
96,0.6837630053226764,1.1158760562896728,80.86076923076924,71.17999999999999,90.60000000000001
97,0.6732493428670443,1.1142512046813964,81.1676923076923,71.2,90.52
98,0.675359281708644,1.1164235820770263,81.15538461538462,71.72,90.78
99,0.6705938947971051,1.1195339319229125,81.22384615384615,71.16,90.82000000000001
100,0.6731464156370897,1.1174857345581055,81.12461538461538,71.36,90.8
